Team Name,Season,Week,Goal Type,Goal Description,Goal Target,Goal Actual,Goal Unit,
Team DWAFAWAT,1,1,Diet,Goop,5,7,Days,
Team DWAFAWAT,1,1,Diet,No Restricted Foods,4,4,Days,
Team DWAFAWAT,1,1,Exercise,PT Routine,4,4,Days,
Team DWAFAWAT,1,1,Exercise,Stretch,210,210,Minutes,
Team DWAFAWAT,1,1,Lifestyle,Read,210,210,Minutes,
Team DWAFAWAT,1,1,Lifestyle,Meditate,105,105,Minutes,
Team Fluffy Bunny,1,1,Diet,No added sugar,3,1,Days,
Team Fluffy Bunny,1,1,Diet,64oz Water,6,5,Days,
Team Fluffy Bunny,1,1,Exercise,Cardio,4,5,Days,
Team Fluffy Bunny,1,1,Exercise,Weight Training,3,3,Days,
Team Fluffy Bunny,1,1,Lifestyle,No TV ,4,2,Days,
Team Fluffy Bunny,1,1,Lifestyle,Read,120,160,Minutes,
Team Lazer,1,1,Diet,Processed Foods,7,5,Days,
Team Lazer,1,1,Diet,Booze,7,5,Days,
Team Lazer,1,1,Exercise,Primary Exercise ,420,60,Minutes,
Team Lazer,1,1,Exercise,Jiu Jitsu,3,0,MInutes,
Team Lazer,1,1,Lifestyle,Meditate ,210,30,Minutes,
Team Lazer,1,1,Lifestyle,Rise (before 7am) ,7,5,Days,
Team DWAFAWAT,1,2,Diet,Goop,6,6,Days,
Team DWAFAWAT,1,2,Diet,No Restricted Foods,5,3,Days,
Team DWAFAWAT,1,2,Exercise,PT Routine,4,5,Days,
Team DWAFAWAT,1,2,Exercise,Stretch,210,215,Minutes,
Team DWAFAWAT,1,2,Lifestyle,Read,210,225,Minutes,
Team DWAFAWAT,1,2,Lifestyle,Meditate,105,90,Minutes,
Team Fluffy Bunny,1,2,Diet,No added sugar,3,2,Days,
Team Fluffy Bunny,1,2,Diet,64oz Water,6,4,Days,
Team Fluffy Bunny,1,2,Exercise,Cardio,4,6,Days,
Team Fluffy Bunny,1,2,Exercise,Weight Training,4,3,Days,
Team Fluffy Bunny,1,2,Lifestyle,No TV ,4,3,Days,
Team Fluffy Bunny,1,2,Lifestyle,Read,180,140,Minutes,
Team Lazer,1,2,Diet,Processed Foods,7,7,Days,
Team Lazer,1,2,Diet,Booze,7,7,Days,
Team Lazer,1,2,Exercise,Primary Exercise ,420,420,Minutes,
Team Lazer,1,2,Exercise,Jiu Jitsu,3,0,MInutes,
Team Lazer,1,2,Lifestyle,Meditate ,210,160,Minutes,
Team Lazer,1,2,Lifestyle,Rise (before 7am) ,7,6,Days,
Team Kelly (name pending),1,2,Diet,Non-meat meals,12,8,Meals,
Team Kelly (name pending),1,2,Diet,Booze,5,5,Days,
Team Kelly (name pending),1,2,Exercise,Ride stationary bike,135,90,Minutes,
Team Kelly (name pending),1,2,Exercise,Core workout,3,3,Days,
Team Kelly (name pending),1,2,Lifestyle,Artistic/creative output,4,3,Days,
Team Kelly (name pending),1,2,Lifestyle,Read 60 minutes,7,5,Days,
Team Best Buds,1,2,Diet,Bone broth and Salad,5,6,Days,
Team Best Buds,1,2,Diet,Turmeric and Cloves Supplements,7,7,Days,
Team Best Buds,1,2,Exercise,Yoga & P.T.,420,420,Minutes,
Team Best Buds,1,2,Exercise,S.T.,180,90,Minutes,
Team Best Buds,1,2,Lifestyle,Reading,210,30,Minutes,
Team Best Buds,1,2,Lifestyle,Practice/Drum,210,30,Minutes,
Team SMASH FASCISM,1,2,Diet,1 gluten free meal,4,3,Days,
Team SMASH FASCISM,1,2,Diet,No booze,4,2,Days,
Team SMASH FASCISM,1,2,Exercise,Morning yoga/meditation ,7,6,Days,
Team SMASH FASCISM,1,2,Exercise,Bike ride,60,0,Minutes,
Team SMASH FASCISM,1,2,Lifestyle,Meditate before bed,5,2,Days,
Team SMASH FASCISM,1,2,Lifestyle,Read,120,70,Minutes,
Team DWAFAWAT,1,3,Diet,Goop,7,7,Days,
Team DWAFAWAT,1,3,Diet,No Restricted Foods,5,5,Days,
Team DWAFAWAT,1,3,Exercise,PT Routine,5,5,Days,
Team DWAFAWAT,1,3,Exercise,Stretch,240,240,Minutes,
Team DWAFAWAT,1,3,Lifestyle,Read,210,210,Minutes,
Team DWAFAWAT,1,3,Lifestyle,Meditate,105,90,Minutes,
Team Kelly (name pending),1,3,Diet,Non-meat meals,12,12,Meals,
Team Kelly (name pending),1,3,Diet,Booze,5,4,Days,
Team Kelly (name pending),1,3,Exercise,Ride stationary bike,135,135,Minutes,
Team Kelly (name pending),1,3,Exercise,Core workout,3,3,Days,
Team Kelly (name pending),1,3,Lifestyle,Artistic/creative output,4,2,Days,
Team Kelly (name pending),1,3,Lifestyle,Read 60 minutes,7,5,Days,
Team Fluffy Bunny,1,3,Diet,Whole Foods,2,1,Days,
Team Fluffy Bunny,1,3,Diet,No Carbs,2,1,Days,
Team Fluffy Bunny,1,3,Exercise,Cardio,5,4,Days,
Team Fluffy Bunny,1,3,Exercise,Weight Training,4,3,Days,
Team Fluffy Bunny,1,3,Lifestyle,Journal,4,3,Days,
Team Fluffy Bunny,1,3,Lifestyle,Hobbie work,120,240,Minutes,
Team SMASH FASCISM,1,3,Diet,Gluten free meal,4,7,Days,
Team SMASH FASCISM,1,3,Diet,No booze,4,4,Days,
Team SMASH FASCISM,1,3,Exercise,Morning yoga/meditation ,7,7,Days,
Team SMASH FASCISM,1,3,Exercise,Bike ride,60,30,Minutes,
Team SMASH FASCISM,1,3,Lifestyle,Meditate before bed,5,5,Days,
Team SMASH FASCISM,1,3,Lifestyle,Read,120,85,Minutes,
Team Best Buds,1,3,Diet,Salad and Fruit,7,7,Days,
Team Best Buds,1,3,Diet,Turmeric and Cloves Supplements,7,6.5,Days,
Team Best Buds,1,3,Exercise,Yoga,420,390,Minutes,
Team Best Buds,1,3,Exercise,St. Tr. & P.T.,180,325,Minutes,
Team Best Buds,1,3,Lifestyle,Reading,210,135,Minutes,
Team Best Buds,1,3,Lifestyle,Practice/Drum,210,165,Minutes,
Team Lazer,1,3,Diet,Processed Foods,7,5,Days,
Team Lazer,1,3,Diet,Booze,7,5,Days,
Team Lazer,1,3,Exercise,Primary Exercise ,420,180,Minutes,
Team Lazer,1,3,Exercise,Jiu Jitsu,3,0,Days,
Team Lazer,1,3,Lifestyle,Meditate ,160,10,Minutes,
Team Lazer,1,3,Lifestyle,Rise (before 7am) ,7,5,Days,
Team DWAFAWAT,1,4,Diet,Goop,7,6,Days,
Team DWAFAWAT,1,4,Diet,No Restricted Foods,5,5,Days,
Team DWAFAWAT,1,4,Exercise,PT Routine,5,4,Days,
Team DWAFAWAT,1,4,Exercise,Stretch,270,170,Minutes,
Team DWAFAWAT,1,4,Lifestyle,Read,270,225,Minutes,
Team DWAFAWAT,1,4,Lifestyle,Meditate,105,75,Minutes,
Team Fluffy Bunny,1,4,Diet,Fast until 1400,2,2,Days,
Team Fluffy Bunny,1,4,Diet,no eating after 2000,4,0,Days,
Team Fluffy Bunny,1,4,Exercise,Cardio,5,5,Days,
Team Fluffy Bunny,1,4,Exercise,Weight training,4,3,Days,
Team Fluffy Bunny,1,4,Lifestyle,Bed by 2130 work days,3,1,Days,
Team Fluffy Bunny,1,4,Lifestyle,Journal,4,0,Days,
Team Lazer,1,4,Diet,Processed Foods,7,5,Days,
Team Lazer,1,4,Diet,Booze,7,7,Days,
Team Lazer,1,4,Exercise,Primary Exercise ,420,360,Minutes,
Team Lazer,1,4,Exercise,Jiu Jitsu,3,0,Days,
Team Lazer,1,4,Lifestyle,Meditate ,160,30,Minutes,
Team Lazer,1,4,Lifestyle,Rise (before 7am) ,7,6,Days,
Team Kelly (name pending),1,4,Diet,Non-meat meals,12,11,Meals,
Team Kelly (name pending),1,4,Diet,Booze,5,4,Days,
Team Kelly (name pending),1,4,Exercise,Ride stationary bike,135,135,Minutes,
Team Kelly (name pending),1,4,Exercise,Core workout,3,2,Days,
Team Kelly (name pending),1,4,Lifestyle,Artistic/creative output,4,2,Days,
Team Kelly (name pending),1,4,Lifestyle,Read 60 minutes,7,7,Days,
Team Best Buds,1,4,Diet,Daily Veg&Fruit,7,5.5,Days,
Team Best Buds,1,4,Diet,Water 8x8 rule,56,51,Glasses,
Team Best Buds,1,4,Exercise,Sleeping ,56,51,Hours,
Team Best Buds,1,4,Exercise,"Yoga, St. Tr., & P.T.",630,540,Minutes,
Team Best Buds,1,4,Lifestyle,Book Reading,210,30,Minutes,
Team Best Buds,1,4,Lifestyle,Practice/Drum,210,300,Minutes,
Team SMASH FASCISM,1,4,Diet,Gluten free meal,4,4,Days,
Team SMASH FASCISM,1,4,Diet,No booze,4,4,Days,
Team SMASH FASCISM,1,4,Exercise,Morning yoga/meditation ,7,7,Days,
Team SMASH FASCISM,1,4,Exercise,Bike ride,60,20,Minutes,
Team SMASH FASCISM,1,4,Lifestyle,Meditate before bed,5,5,Days,
Team SMASH FASCISM,1,4,Lifestyle,Read,120,90,Minutes,
